Date,Free Cash Flow,Issuance Of Debt,Issuance Of Capital Stock,Capital Expenditure,Interest Paid Supplemental Data,Income Tax Paid Supplemental Data,End Cash Position,Beginning Cash Position,Effect Of Exchange Rate Changes,Changes In Cash,Financing Cash Flow,Cash Flow From Continuing Financing Activities,Proceeds From Stock Option Exercised,Net Common Stock Issuance,Common Stock Issuance,Net Issuance Payments Of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Investing Cash Flow,Cash Flow From Continuing Investing Activities,Net Other Investing Changes,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net Business Purchase And Sale,Purchase Of Business,Net Intangibles Purchase And Sale,Purchase Of Intangibles,Net PPE Purchase And Sale,Purchase Of PPE,Operating Cash Flow,Cash Flow From Continuing Operating Activities,Change In Working Capital,Change In Other Working Capital,Change In Other Current Assets,Change In Payables And Accrued Expense,Change In Prepaid Assets,Change In Receivables,Changes In Account Receivables,Other Non Cash Items,Stock Based Compensation,Provision and Write Off of Assets,Asset Impairment Charge,Deferred Tax,Deferred Income Tax,Depreciation Amortization Depletion,Depreciation And Amortization,Operating Gains Losses,Earnings Losses From Equity Investments,Net Foreign Currency Exchange Gain Loss,Net Income From Continuing Operations,Ticker,Repurchase Of Capital Stock,Repayment Of Debt,Net Other Financing Charges,Cash Dividends Paid,Common Stock Dividend Paid,Common Stock Payments,Net Short Term Debt Issuance,Long Term Debt Payments,Change In Other Current Liabilities,Change In Payable,Change In Account Payable,Change In Inventory,Depreciation,Gain Loss On Investment Securities,Provisionand Write Offof Assets,Short Term Debt Issuance,Sale Of Business,Change In Accrued Expense,Gain Loss On Sale Of PPE,Capital Expenditure Reported,Sale Of PPE,Short Term Debt Payments,Change In Tax Payable,Change In Income Tax Payable,Amortization Cash Flow,Amortization Of Intangibles,Pension And Employee Benefit Expense,Unrealized Gain Loss On Investment Securities,Net Preferred Stock Issuance,Preferred Stock Issuance,Amortization Of Securities,Other Cash Adjustment Outside Changein Cash,Interest Received Cfi,Gain Loss On Sale Of Business
2023-06-30,59475000000.0,,1866000000.0,-28107000000.0,,,34704000000.0,13931000000.0,-194000000.0,20967000000.0,-43935000000.0,-43935000000.0,,-20379000000.0,1866000000.0,-2750000000.0,-2750000000.0,,-22680000000.0,-22680000000.0,-3116000000.0,10213000000.0,47864000000.0,-37651000000.0,-1670000000.0,-1670000000.0,,,-28107000000.0,-28107000000.0,87582000000.0,87582000000.0,-2388000000.0,5177000000.0,-4824000000.0,-2721000000.0,,-4087000000.0,-4087000000.0,,9611000000.0,,,-6059000000.0,-6059000000.0,13861000000.0,13861000000.0,196000000.0,,,72361000000.0,MSFT,-22245000000.0,-2750000000.0,-1006000000.0,-19800000000.0,-19800000000.0,-22245000000.0,,-2750000000.0,2825000000.0,-2721000000.0,-2721000000.0,1242000000.0,13861000000.0,,,,,,,,,,,,,,,,,,,,,
2022-06-30,65149000000.0,,1841000000.0,-23886000000.0,,,13931000000.0,14224000000.0,-141000000.0,-152000000.0,-58876000000.0,-58876000000.0,,-30855000000.0,1841000000.0,-9023000000.0,-9023000000.0,,-30311000000.0,-30311000000.0,-2825000000.0,18438000000.0,44894000000.0,-26456000000.0,-22038000000.0,-22038000000.0,,,-23886000000.0,-23886000000.0,89035000000.0,89035000000.0,446000000.0,5805000000.0,-3514000000.0,2943000000.0,,-6834000000.0,-6834000000.0,,7502000000.0,,,-5702000000.0,-5702000000.0,14460000000.0,14460000000.0,-409000000.0,,,72738000000.0,MSFT,-32696000000.0,-9023000000.0,-863000000.0,-18135000000.0,-18135000000.0,-32696000000.0,,-9023000000.0,3169000000.0,2943000000.0,2943000000.0,-1123000000.0,14460000000.0,,,,,,,,,,,,,,,,,,,,,
2021-06-30,56118000000.0,,1693000000.0,-20622000000.0,,,14224000000.0,13576000000.0,-29000000.0,677000000.0,-48486000000.0,-48486000000.0,,-25692000000.0,1693000000.0,-3750000000.0,-3750000000.0,,-27577000000.0,-27577000000.0,-922000000.0,2876000000.0,65800000000.0,-62924000000.0,-8909000000.0,-8909000000.0,,,-20622000000.0,-20622000000.0,76740000000.0,76740000000.0,-936000000.0,2324000000.0,-4391000000.0,2798000000.0,,-6481000000.0,-6481000000.0,,6118000000.0,,,-150000000.0,-150000000.0,11686000000.0,11686000000.0,-1249000000.0,,,61271000000.0,MSFT,-27385000000.0,-3750000000.0,-2523000000.0,-16521000000.0,-16521000000.0,-27385000000.0,,-3750000000.0,5551000000.0,2798000000.0,2798000000.0,-737000000.0,11686000000.0,,,,,,,,,,,,,,,,,,,,,
2020-06-30,45234000000.0,0.0,1343000000.0,-15441000000.0,,,13576000000.0,11356000000.0,-201000000.0,2421000000.0,-46031000000.0,-46031000000.0,,-21625000000.0,1343000000.0,-5518000000.0,-5518000000.0,0.0,-12223000000.0,-12223000000.0,-1241000000.0,6980000000.0,84170000000.0,-77190000000.0,-2521000000.0,-2521000000.0,,,-15441000000.0,-15441000000.0,60675000000.0,60675000000.0,-1483000000.0,-1419000000.0,-3367000000.0,3018000000.0,,-2577000000.0,-2577000000.0,,5289000000.0,,,11000000.0,11000000.0,12796000000.0,12796000000.0,-219000000.0,,,44281000000.0,MSFT,-22968000000.0,-5518000000.0,-3751000000.0,-15137000000.0,-15137000000.0,-22968000000.0,0.0,-5518000000.0,2694000000.0,3018000000.0,3018000000.0,168000000.0,12796000000.0,-219000000.0,,,,,,,,,,,,,,,,,,,,
2023-12-31,905000000.0,,,-39000000.0,1000000.0,50000000.0,1413000000.0,1649000000.0,4000000.0,-240000000.0,60000000.0,60000000.0,60000000.0,,,,,,-1244000000.0,-1244000000.0,-559000000.0,-251000000.0,5590000000.0,-5841000000.0,-395000000.0,-395000000.0,,,-39000000.0,-39000000.0,944000000.0,944000000.0,195000000.0,60000000.0,-50000000.0,69000000.0,,116000000.0,116000000.0,-158000000.0,615000000.0,,1378000000.0,-1000000.0,-1000000.0,70000000.0,70000000.0,-1367000000.0,-1361000000.0,-6000000.0,132000000.0,SHOP,,,,,,,,,,,,,,,80000000.0,,,,,,,,,,,,,,,,,,,
2022-12-31,-186000000.0,,0.0,-50000000.0,1000000.0,27000000.0,1649000000.0,2503000000.0,-17000000.0,-837000000.0,18000000.0,18000000.0,18000000.0,0.0,0.0,,,,-719000000.0,-719000000.0,-159000000.0,1879000000.0,6890000000.0,-5011000000.0,-2389000000.0,-2389000000.0,,,-50000000.0,-50000000.0,-136000000.0,-136000000.0,-99000000.0,32000000.0,-31000000.0,28000000.0,,-128000000.0,-128000000.0,-121000000.0,549000000.0,,84000000.0,-187000000.0,-187000000.0,93000000.0,93000000.0,2931000000.0,2919000000.0,12000000.0,-3460000000.0,SHOP,,,,,,,,,,,,,,,74000000.0,,,,,,,,,,,,,,,,,,,
2021-12-31,484923000.0,0.0,1541168000.0,-50788000.0,1287000.0,10466000.0,2502992000.0,2703597000.0,-7005000.0,-193600000.0,1649762000.0,1649762000.0,108594000.0,1541168000.0,1541168000.0,0.0,0.0,0.0,-2379073000.0,-2379073000.0,-31283000.0,-1587142000.0,5750224000.0,-7337366000.0,-709860000.0,-709860000.0,0.0,0.0,-50788000.0,-50788000.0,535711000.0,535711000.0,-129641000.0,89429000.0,-50151000.0,138175000.0,-266077000.0,-307094000.0,-307094000.0,-56037000.0,330763000.0,,30145000.0,190963000.0,190963000.0,66308000.0,66308000.0,-2855230000.0,-2859800000.0,4570000.0,2914659000.0,SHOP,,,,,,,,,,,,,,,43781000.0,,,,,,,,,,,,,,,,,,,
2020-12-31,382963000.0,907950000.0,2578591000.0,-41995000.0,,,2703597000.0,649916000.0,3221000.0,2050460000.0,3557350000.0,3557350000.0,70809000.0,2578591000.0,2578591000.0,907950000.0,907950000.0,907950000.0,-1931848000.0,-1931848000.0,,-1878802000.0,3721405000.0,-5600207000.0,-11051000.0,-11051000.0,-262000.0,-262000.0,-41733000.0,-41733000.0,424958000.0,424958000.0,-93715000.0,-59032000.0,-11404000.0,118588000.0,-112721000.0,-29146000.0,-29146000.0,4942000.0,246940000.0,,31623000.0,-44801000.0,-44801000.0,70060000.0,70060000.0,-136882000.0,-135193000.0,-1689000.0,319509000.0,SHOP,,,,,,,,,,,,,,,27282000.0,,,,,,,,,,,,,,,,,,,
2023-12-31,1121000000.0,0.0,,-546000000.0,84000000.0,523000000.0,3933000000.0,4835000000.0,,-902000000.0,-1146000000.0,-1146000000.0,268000000.0,-1412000000.0,,0.0,0.0,0.0,-1423000000.0,-1423000000.0,-11000000.0,-735000000.0,2987000000.0,-3722000000.0,-131000000.0,-131000000.0,,,-546000000.0,-546000000.0,1667000000.0,1667000000.0,-3049000000.0,,,-740000000.0,-472000000.0,-1257000000.0,-1250000000.0,-64000000.0,1384000000.0,,,-1019000000.0,-1019000000.0,3551000000.0,3551000000.0,10000000.0,-1000000.0,,854000000.0,AMD,-1412000000.0,0.0,-2000000.0,,,-1412000000.0,,0.0,,-519000000.0,-419000000.0,-580000000.0,3551000000.0,,,,0.0,-221000000.0,11000000.0,,,,,,,,,,,,,,,
2022-12-31,3115000000.0,991000000.0,,-450000000.0,85000000.0,685000000.0,4835000000.0,2535000000.0,,2300000000.0,-3264000000.0,-3264000000.0,167000000.0,-4108000000.0,,679000000.0,679000000.0,991000000.0,1999000000.0,1999000000.0,-16000000.0,1643000000.0,4310000000.0,-2667000000.0,822000000.0,-1544000000.0,,,-450000000.0,-450000000.0,3565000000.0,3565000000.0,-1846000000.0,,,1856000000.0,-1197000000.0,-1104000000.0,-1091000000.0,175000000.0,1081000000.0,,,-1505000000.0,-1505000000.0,4262000000.0,4262000000.0,78000000.0,62000000.0,,1320000000.0,AMD,-4108000000.0,-312000000.0,-2000000.0,,,-4108000000.0,,-312000000.0,,1310000000.0,931000000.0,-1401000000.0,4262000000.0,62000000.0,,,2366000000.0,546000000.0,16000000.0,,,,,,,,,,,,,,,
