Date,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Average Dilution Earnings,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Special Income Charges,Write Off,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Total Other Finance Cost,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Research And Development,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Ticker,Other Non Operating Income Expenses,Earnings From Equity Interest Net Of Tax,Other Special Charges,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Amortization,Amortization Of Intangibles Income Statement,Restructuring And Mergern Acquisition,Otherunder Preferred Stock Dividend,Minority Interests,Gain On Sale Of Ppe,Salaries And Wages,Rent Expense Supplemental,Gain On Sale Of Business,Impairment Of Capital Assets
2023-06-30,-2850000.0,0.19,105155000000.0,-15000000.0,-15000000.0,72361000000.0,13861000000.0,65863000000.0,105140000000.0,91279000000.0,1026000000.0,1968000000.0,2994000000.0,72373150000.0,72361000000.0,123392000000.0,88523000000.0,7472000000.0,7446000000.0,9.68,9.72,72361000000.0,,72361000000.0,72361000000.0,72361000000.0,72361000000.0,16950000000.0,89311000000.0,-238000000.0,-30000000.0,30000000.0,,15000000.0,1026000000.0,,1968000000.0,2994000000.0,88523000000.0,57529000000.0,,27195000000.0,30334000000.0,22759000000.0,7575000000.0,7575000000.0,146052000000.0,65863000000.0,211915000000.0,211915000000.0,MSFT,-223000000.0,,,,,,,,,,,,,,
2022-06-30,43420000.0,0.13,99905000000.0,334000000.0,334000000.0,72738000000.0,14460000000.0,62650000000.0,100239000000.0,85779000000.0,31000000.0,2063000000.0,2094000000.0,72447420000.0,72738000000.0,114887000000.0,83383000000.0,7540000000.0,7496000000.0,9.65,9.7,72738000000.0,,72738000000.0,72738000000.0,72738000000.0,72738000000.0,10978000000.0,83716000000.0,302000000.0,-101000000.0,101000000.0,,435000000.0,31000000.0,,2063000000.0,2094000000.0,83383000000.0,52237000000.0,,24512000000.0,27725000000.0,21825000000.0,5900000000.0,5900000000.0,135620000000.0,62650000000.0,198270000000.0,198270000000.0,MSFT,-32000000.0,,,,,,,,,,,,,,
2021-06-30,180160797.164637,0.138266,83831000000.0,1303000000.0,1303000000.0,61271000000.0,11686000000.0,52232000000.0,85134000000.0,73448000000.0,-215000000.0,2346000000.0,2131000000.0,60148160797.164635,61271000000.0,98172000000.0,69916000000.0,7608000000.0,7547000000.0,8.05,8.12,61271000000.0,,61271000000.0,61271000000.0,61271000000.0,61271000000.0,9831000000.0,71102000000.0,1401000000.0,-13000000.0,13000000.0,,1316000000.0,-215000000.0,,2346000000.0,2131000000.0,69916000000.0,45940000000.0,,20716000000.0,25224000000.0,20117000000.0,5107000000.0,5107000000.0,115856000000.0,52232000000.0,168088000000.0,168088000000.0,MSFT,98000000.0,,,,,,,,,,,,,,
2020-06-30,4760000.0,0.17,68395000000.0,28000000.0,28000000.0,44281000000.0,12796000000.0,46078000000.0,68423000000.0,55627000000.0,89000000.0,2591000000.0,2680000000.0,44257760000.0,44281000000.0,90056000000.0,52959000000.0,7683000000.0,7610000000.0,5.76,5.82,44281000000.0,,44281000000.0,44281000000.0,44281000000.0,44281000000.0,8755000000.0,53036000000.0,-12000000.0,-133000000.0,133000000.0,,161000000.0,89000000.0,,2591000000.0,2680000000.0,52959000000.0,43978000000.0,,19269000000.0,24709000000.0,19598000000.0,5111000000.0,5111000000.0,96937000000.0,46078000000.0,143015000000.0,143015000000.0,MSFT,-40000000.0,,,,,,,,,,,,,,
2023-12-31,22918918.918919,0.286486,-88000000.0,80000000.0,80000000.0,132000000.0,70000000.0,3545000000.0,-8000000.0,-78000000.0,241000000.0,,241000000.0,74918918.918919,132000000.0,7138000000.0,-1418000000.0,1295511385.0,1281554559.0,0.1,0.1,133000000.0,1000000.0,132000000.0,132000000.0,132000000.0,132000000.0,53000000.0,185000000.0,22000000.0,-1340000000.0,1340000000.0,-58000000.0,1420000000.0,241000000.0,,,241000000.0,-78000000.0,3593000000.0,152000000.0,1730000000.0,1711000000.0,1220000000.0,491000000.0,491000000.0,3515000000.0,3545000000.0,7060000000.0,7060000000.0,SHOP,,,,,,,,,,,,,,,
2022-12-31,-129392216.395253,0.04499,2147000000.0,-2876000000.0,-2876000000.0,-3460000000.0,93000000.0,2846000000.0,-729000000.0,-822000000.0,75000000.0,1150000.0,75000000.0,-713392216.395253,-3460000000.0,6422000000.0,-822000000.0,1266268155.0,1266268155.0,-2.73,-2.73,-3460000000.0,0.0,-3460000000.0,-3460000000.0,-3460000000.0,-3460000000.0,-163000000.0,-3623000000.0,-2876000000.0,0.0,0.0,0.0,-2876000000.0,75000000.0,2349000.0,1150000.0,75000000.0,-822000000.0,3576000000.0,135000000.0,1503000000.0,1938000000.0,1230000000.0,708000000.0,708000000.0,2754000000.0,2846000000.0,5600000000.0,5600000000.0,SHOP,,,,,,,,,,,,,,,
2021-12-31,205753504.510615,0.07194,347964000.0,2860086000.0,2860086000.0,2914659000.0,66308000.0,2130712000.0,3208050000.0,3141742000.0,11863000.0,1150000.0,15356000.0,260326504.510615,2914659000.0,4343213000.0,268643000.0,1273647350.0,1246588910.0,2.29,2.34,2917226000.0,2567000.0,2914659000.0,2914659000.0,2914659000.0,2914659000.0,225933000.0,3140592000.0,2860086000.0,,,,2860086000.0,11863000.0,2343000.0,1150000.0,15356000.0,268643000.0,2212501000.0,81717000.0,854383000.0,1276401000.0,901557000.0,374844000.0,374844000.0,2481144000.0,2130712000.0,4611856000.0,4611856000.0,SHOP,,,,,,,,,,,,,,,
2020-12-31,36003430.0,0.265,183137000.0,135862000.0,135862000.0,319509000.0,70060000.0,1387971000.0,318999000.0,248939000.0,14349000.0,8575000.0,23434000.0,219650430.0,319509000.0,2839338000.0,90153000.0,1234632740.0,1195697050.0,0.259,0.267,319509000.0,0.0,319509000.0,319509000.0,319509000.0,319509000.0,-79145000.0,240364000.0,135862000.0,,,,135862000.0,14349000.0,510000.0,8575000.0,23434000.0,90153000.0,1451367000.0,51849000.0,552127000.0,847391000.0,602048000.0,245343000.0,245343000.0,1541520000.0,1387971000.0,2929491000.0,2929491000.0,SHOP,,,,,,,,,,,,,,,
2023-12-31,0.0,0.21,4149000000.0,0.0,0.0,854000000.0,3551000000.0,10538000000.0,4149000000.0,598000000.0,100000000.0,106000000.0,206000000.0,854000000.0,854000000.0,22279000000.0,401000000.0,1625000000.0,1614000000.0,0.53,0.53,854000000.0,,854000000.0,854000000.0,854000000.0,854000000.0,-346000000.0,492000000.0,-9000000.0,0.0,,-1000000.0,,100000000.0,,106000000.0,206000000.0,401000000.0,10059000000.0,-34000000.0,5872000000.0,2352000000.0,,,,10460000000.0,12220000000.0,22680000000.0,22680000000.0,AMD,-8000000.0,16000000.0,,1869000000.0,1869000000.0,1869000000.0,1869000000.0,,,,,,,,
2022-12-31,0.0,0.21,5534000000.0,0.0,0.0,1320000000.0,4262000000.0,10836000000.0,5534000000.0,1272000000.0,-23000000.0,88000000.0,65000000.0,1320000000.0,1320000000.0,22337000000.0,1264000000.0,1571000000.0,1561000000.0,0.84,0.85,1320000000.0,0.0,1320000000.0,1320000000.0,1320000000.0,1320000000.0,-122000000.0,1184000000.0,-57000000.0,0.0,,-62000000.0,,-23000000.0,,88000000.0,65000000.0,1264000000.0,9339000000.0,-102000000.0,5005000000.0,2336000000.0,,,,10603000000.0,12998000000.0,23601000000.0,23601000000.0,AMD,5000000.0,14000000.0,,2100000000.0,2100000000.0,2100000000.0,2100000000.0,,,,,,,,
